Assembly,Isolation source,source_level1,source_level2
GCA_000006765.1,,Unknown,Unknown
GCA_000014625.1,,Unknown,Unknown
GCA_000026645.1,,Unknown,Unknown
GCA_000172395.1,clininal isolate from frostbite patient,Unknown,Unknown
GCA_000168335.1,,Unknown,Unknown
GCA_000148745.1,cornea of a patient with ulcerative keratitis,Clinical,Skin_Soft_Tissue
GCA_000233495.1,gastrointestinal tract,Clinical,Gastrointestinal
GCA_000226155.1,,Unknown,Unknown
GCA_000271365.1,,Unknown,Unknown
GCA_000284555.1,,Unknown,Unknown
GCA_000247435.2,,Unknown,Unknown
GCA_000247455.2,,Unknown,Unknown
GCA_000259025.1,a cystic fibrosis patient,Clinical,CF_Respiratory
GCA_000295475.1,cystic fibrosis chronic infection,Clinical,CF_Respiratory
GCA_000297275.1,soil,Environmental,Soil
GCA_000297295.1,air from a glass-crusher air plate,Environmental,Air
GCA_000297315.1,biofilm from an industrial water system,Environmental,Water
GCA_000297335.1,cystic fibrosis patient with a chronic infection,Clinical,CF_Respiratory
GCA_000297355.1,tomato plant,Plant,Crop
GCA_000296325.1,,Unknown,Unknown
GCA_000341565.1,,Unknown,Unknown
GCA_000342145.1,,Unknown,Unknown
GCA_000359505.1,infant with community-acquired diarrhea,Unknown,Unknown
GCA_000265035.1,soil,Environmental,Soil
GCA_000271985.2,soil,Environmental,Soil
GCA_000287815.2,,Unknown,Unknown
GCA_000282915.1,,Unknown,Unknown
GCA_000283055.1,soil,Environmental,Soil
GCA_000287875.1,sputum sample,Clinical,Respiratory
GCA_000290555.2,blood,Clinical,Bloodstream
GCA_000220025.4,sputum of a 14 mo old infant with cystic fibrosis,Clinical,Respiratory
GCA_000223925.2,,Unknown,Unknown
GCA_000223945.2,,Unknown,Unknown
GCA_000223965.2,,Unknown,Unknown
GCA_000359565.1,blood from a hospitalized oncology patient,Clinical,Bloodstream
GCA_000408865.1,,Unknown,Unknown
GCA_000404265.1,,Unknown,Unknown
GCA_000414035.1,,Unknown,Unknown
GCA_000412355.1,,Unknown,Unknown
GCA_000412295.1,,Unknown,Unknown
GCA_000412395.1,,Unknown,Unknown
GCA_000412415.1,,Unknown,Unknown
GCA_000412435.1,,Unknown,Unknown
GCA_000412455.1,,Unknown,Unknown
GCA_000412495.1,,Unknown,Unknown
GCA_000412555.1,,Unknown,Unknown
GCA_000291745.1,,Unknown,Unknown
GCA_000439855.1,grown in culture and sent on a short-term space flight,Unknown,Unknown
GCA_000439875.1,grown in culture and sent on a short-term space flight,Unknown,Unknown
GCA_000455405.1,,Unknown,Unknown
GCA_000455425.1,,Unknown,Unknown
GCA_000455505.1,,Unknown,Unknown
GCA_000455545.1,,Unknown,Unknown
GCA_000468555.1,,Unknown,Unknown
GCA_000468935.1,,Unknown,Unknown
GCA_000407905.1,,Unknown,Unknown
GCA_000455705.1,water column,Environmental,Water
GCA_000215775.5,,Unknown,Unknown
GCA_000480355.1,cystic fibrosis isolate,Clinical,CF_Respiratory
GCA_000480375.1,cystic fibrosis isolate,Clinical,CF_Respiratory
GCA_000480395.1,environmental,Unknown,Unknown
GCA_000480415.1,environmental,Unknown,Unknown
GCA_000480435.1,environmental,Unknown,Unknown
GCA_000480495.1,environmental,Unknown,Unknown
GCA_000480535.1,environmental,Unknown,Unknown
GCA_000480555.1,environmental,Unknown,Unknown
GCA_000480575.1,environmental,Unknown,Unknown
GCA_000480595.1,environmental,Unknown,Unknown
GCA_000480615.1,environmental,Unknown,Unknown
GCA_000480645.1,eye,Clinical,Ocular
GCA_000480685.1,General Eye,Clinical,Ocular
GCA_000480705.1,eye,Clinical,Ocular
GCA_000480745.1,Corneal Scraping,Clinical,Ocular
GCA_000480765.1,Corneal Scaping,Clinical,Ocular
GCA_000480785.1,General Eye,Clinical,Ocular
GCA_000480805.1,eye,Clinical,Ocular
GCA_000480825.1,Corneal Scraping,Clinical,Ocular
GCA_000480845.1,Corneal Scaping,Clinical,Ocular
GCA_000480865.1,General Eye,Clinical,Ocular
GCA_000480885.1,eye,Clinical,Ocular
GCA_000480905.1,eye,Clinical,Ocular
GCA_000480925.1,Corneal Scraping,Clinical,Ocular
GCA_000480945.1,Corneal Scaping,Clinical,Ocular
GCA_000480965.1,Corneal Scraping,Clinical,Ocular
GCA_000480985.1,General Eye,Clinical,Ocular
GCA_000481005.1,Conjunctiva,Clinical,Ocular
GCA_000481025.1,eye,Clinical,Ocular
GCA_000481045.1,Corneal Scraping,Clinical,Ocular
GCA_000481065.1,General Eye,Clinical,Ocular
GCA_000481085.1,Corneal Scaping,Clinical,Ocular
GCA_000481105.1,Vitreous Fluid,Clinical,Ocular
GCA_000481125.1,Corneal Scraping,Clinical,Ocular
GCA_000481145.1,sputum,Clinical,Respiratory
GCA_000481165.1,BAL (mucoid strain),Clinical,Respiratory
GCA_000481185.1,QC org:ATCC 27853,Laboratory,Lab_Strain
GCA_000481205.1,Lung biopsy,Clinical,Respiratory
GCA_000481225.1,Abd. Woundd,Clinical,Skin_Soft_Tissue
GCA_000481245.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481265.1,sputum,Clinical,Respiratory
GCA_000481305.1,sputum,Clinical,Respiratory
GCA_000481325.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481365.1,urine,Clinical,Urinary
GCA_000481385.1,ear,Clinical,Ear_Nose_Throat
GCA_000481405.1,urine,Clinical,Urinary
GCA_000481425.1,Foot wound,Clinical,Skin_Soft_Tissue
GCA_000481445.1,sputum,Clinical,Respiratory
GCA_000481465.1,sputum,Clinical,Respiratory
GCA_000481485.1,tissue middle turbinate,Unknown,Unknown
GCA_000481505.1,G-tube site,Clinical,Medical_Device
GCA_000481525.1,Groin abscess,Clinical,Skin_Soft_Tissue
GCA_000481545.1,shin wound,Clinical,Skin_Soft_Tissue
GCA_000481565.1,Abscess (abdominal),Clinical,Skin_Soft_Tissue
GCA_000481585.1,BAL,Clinical,Respiratory
GCA_000481605.1,urine,Clinical,Urinary
GCA_000481625.1,"toenail, subungal debris",Unknown,Unknown
GCA_000481645.1,sputum,Clinical,Respiratory
GCA_000481665.1,blood,Clinical,Bloodstream
GCA_000481685.1,urine,Clinical,Urinary
GCA_000481705.1,blood,Clinical,Bloodstream
GCA_000481725.1,blood,Clinical,Bloodstream
GCA_000481745.1,Cornea/ocular infection,Clinical,Ocular
GCA_000481765.1,Cornea/ocular infection,Clinical,Ocular
GCA_000481785.1,UTI,Clinical,Urinary
GCA_000481805.1,UTI,Clinical,Urinary
GCA_000481825.1,UTI,Clinical,Urinary
GCA_000481845.1,UTI,Clinical,Urinary
GCA_000481865.1,UTI,Clinical,Urinary
GCA_000481885.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481905.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481925.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481945.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481965.1,Environmental (water),Environmental,Water
GCA_000481985.1,Environmental (water),Environmental,Water
GCA_000482005.1,Environmental (tomato plant),Plant,Crop
GCA_000482025.1,Environmental (soil),Environmental,Soil
GCA_000484495.1,,Unknown,Unknown
GCA_000484545.1,,Unknown,Unknown
GCA_000480455.1,environmental,Unknown,Unknown
GCA_000480475.1,environmental,Unknown,Unknown
GCA_000480515.1,environmental,Unknown,Unknown
GCA_000480665.1,eye,Clinical,Ocular
GCA_000480725.1,Corneal Scraping,Clinical,Ocular
GCA_000481345.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481285.1,sputum,Clinical,Respiratory
GCA_000215795.5,patient with pneunomia,Unknown,Unknown
GCA_000496455.2,Patient (nose),Clinical,Ear_Nose_Throat
GCA_000478465.2,,Unknown,Unknown
GCA_000496605.2,,Unknown,Unknown
GCA_000496645.1,,Unknown,Unknown
GCA_000504485.1,,Unknown,Unknown
GCA_000503175.1,nose of a patient in the Surgical Intensive Care Unit,Clinical,Ear_Nose_Throat
GCA_000505985.1,sputum,Clinical,Respiratory
GCA_000506025.1,sputum,Clinical,Respiratory
GCA_000506045.1,sputum,Clinical,Respiratory
GCA_000506065.1,sputum,Clinical,Respiratory
GCA_000506125.1,sputum,Clinical,Respiratory
GCA_000506185.1,sputum,Clinical,Respiratory
GCA_000506345.1,sputum,Clinical,Respiratory
GCA_000506365.1,sputum,Clinical,Respiratory
GCA_000504045.1,t-HCH contaminated soil,Environmental,Soil
GCA_000506805.1,Rectal swab,Clinical,Gastrointestinal
GCA_000506885.1,urine from a patient wiht a urinary tract infection,Clinical,Urinary
GCA_000508765.1,,Unknown,Unknown
GCA_000510305.1,CF isolate,Clinical,CF_Respiratory
GCA_000513235.1,,Unknown,Unknown
GCA_000520175.1,Environmental isolate,Unknown,Unknown
GCA_000520195.1,Environmental isolate,Unknown,Unknown
GCA_000520215.1,,Unknown,Unknown
GCA_000520255.1,sputum,Clinical,Respiratory
GCA_000520275.1,BAL,Clinical,Respiratory
GCA_000520295.1,sputum (ETT),Clinical,Respiratory
GCA_000520315.1,urine,Clinical,Urinary
GCA_000520335.1,wound,Clinical,Skin_Soft_Tissue
GCA_000520355.1,sputum,Clinical,Respiratory
