Assembly,isolation source
GCA_000148745.1,Skin_Soft_Tissue
GCA_000233495.1,Gastrointestinal
GCA_000259025.1,CF_Respiratory
GCA_000295475.1,CF_Respiratory
GCA_000297275.1,Soil
GCA_000297295.1,Air
GCA_000297315.1,Water
GCA_000297335.1,CF_Respiratory
GCA_000297355.1,Crop
GCA_000265035.1,Soil
GCA_000271985.2,Soil
GCA_000283055.1,Soil
GCA_000287875.1,Respiratory
GCA_000290555.2,Bloodstream
GCA_000220025.4,Respiratory
GCA_000359565.1,Bloodstream
GCA_000455705.1,Water
GCA_000480355.1,CF_Respiratory
GCA_000480375.1,CF_Respiratory
GCA_000480645.1,Ocular
GCA_000480685.1,Ocular
GCA_000480705.1,Ocular
GCA_000480745.1,Ocular
GCA_000480765.1,Ocular
GCA_000480785.1,Ocular
GCA_000480805.1,Ocular
GCA_000480825.1,Ocular
GCA_000480845.1,Ocular
GCA_000480865.1,Ocular
GCA_000480885.1,Ocular
GCA_000480905.1,Ocular
GCA_000480925.1,Ocular
GCA_000480945.1,Ocular
GCA_000480965.1,Ocular
GCA_000480985.1,Ocular
GCA_000481005.1,Ocular
GCA_000481025.1,Ocular
GCA_000481045.1,Ocular
GCA_000481065.1,Ocular
GCA_000481085.1,Ocular
GCA_000481105.1,Ocular
GCA_000481125.1,Ocular
GCA_000481145.1,Respiratory
GCA_000481165.1,Respiratory
GCA_000481185.1,Lab_Strain
GCA_000481205.1,Respiratory
GCA_000481225.1,Skin_Soft_Tissue
GCA_000481245.1,Skin_Soft_Tissue
GCA_000481265.1,Respiratory
GCA_000481305.1,Respiratory
GCA_000481325.1,Skin_Soft_Tissue
GCA_000481365.1,Urinary
GCA_000481385.1,Ear_Nose_Throat
GCA_000481405.1,Urinary
GCA_000481425.1,Skin_Soft_Tissue
GCA_000481445.1,Respiratory
GCA_000481465.1,Respiratory
GCA_000481505.1,Medical_Device
GCA_000481525.1,Skin_Soft_Tissue
GCA_000481545.1,Skin_Soft_Tissue
GCA_000481565.1,Skin_Soft_Tissue
GCA_000481585.1,Respiratory
GCA_000481605.1,Urinary
GCA_000481645.1,Respiratory
GCA_000481665.1,Bloodstream
GCA_000481685.1,Urinary
GCA_000481705.1,Bloodstream
GCA_000481725.1,Bloodstream
GCA_000481745.1,Ocular
GCA_000481765.1,Ocular
GCA_000481785.1,Urinary
GCA_000481805.1,Urinary
GCA_000481825.1,Urinary
GCA_000481845.1,Urinary
GCA_000481865.1,Urinary
GCA_000481885.1,CF_Respiratory
GCA_000481905.1,CF_Respiratory
GCA_000481925.1,CF_Respiratory
GCA_000481945.1,CF_Respiratory
GCA_000481965.1,Water
GCA_000481985.1,Water
GCA_000482005.1,Crop
GCA_000482025.1,Soil
GCA_000480665.1,Ocular
GCA_000480725.1,Ocular
GCA_000481345.1,Skin_Soft_Tissue
GCA_000481285.1,Respiratory
